sample_index,t_elapsed_sec,raw_lat,raw_lon,raw_enu_e,raw_enu_n,raw_speed_mps,raw_course_deg,raw_hdop,raw_sats,gnss_age_sec,filt_lat,filt_lon,filt_enu_e,filt_enu_n,filt_speed_mps,filt_course_deg,filt_ve,filt_vn,is_filtered,filter_mode,innovation_dist_m,displacement_m,accepted_count,rejected_count,reseed_count,filter_gnss_age_sec
1,0.0,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.32,12.9356335,77.6208171,0.315,1.781,0.74,227.4,-0.545,-0.501,True,moving,0.75,3.54,463,0,2,0.14
2,0.2,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.44,12.9356326,77.620816,0.195,1.681,0.74,227.4,-0.545,-0.501,True,moving,0.75,3.54,463,0,2,0.26
3,0.4,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.64,12.9356316,77.620815,0.087,1.57,0.74,227.4,-0.545,-0.501,True,moving,0.75,3.54,463,0,2,0.46
4,0.6,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.84,12.9356307,77.6208139,-0.033,1.469,0.74,227.4,-0.545,-0.501,True,moving,0.75,3.54,463,0,2,0.66
5,0.8,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.05,12.9356233,77.6208135,-0.076,0.646,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,0.02
6,1.0,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.24,12.9356233,77.6208135,-0.076,0.646,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,0.2
7,1.2,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.44,12.9356217,77.6208125,-0.184,0.468,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,0.4
8,1.4,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.64,12.9356202,77.6208115,-0.293,0.301,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,0.6
9,1.6,12.9356175,77.6208142,0.0,0.0,0.0,,1.35,6,0.84,12.9356186,77.6208105,-0.401,0.122,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,0.8
10,1.8,12.9356093,77.6208218,0.825,-0.913,2.09,,1.39,6,0.04,12.935617,77.6208095,-0.51,-0.056,0.96,212.0,-0.509,-0.814,True,moving,0.28,1.36,464,0,2,1.0
11,2.0,12.9356093,77.6208218,0.825,-0.913,2.09,,1.39,6,0.24,12.9356388,77.6208175,0.358,2.371,1.96,359.8,-0.007,1.96,True,moving,0.31,1.6,465,0,2,0.13
12,2.2,12.9356093,77.6208218,0.825,-0.913,2.09,,1.39,6,0.44,12.9356426,77.6208175,0.358,2.794,1.96,359.8,-0.007,1.96,True,moving,0.31,1.6,465,0,2,0.33
13,2.4,12.9356093,77.6208218,0.825,-0.913,2.09,,1.39,6,0.64,12.9356464,77.6208175,0.358,3.217,1.96,359.8,-0.007,1.96,True,moving,0.31,1.6,465,0,2,0.53
14,2.6,12.9356093,77.6208218,0.825,-0.913,2.09,,1.39,6,0.84,12.9356502,77.6208175,0.358,3.64,1.96,359.8,-0.007,1.96,True,moving,0.31,1.6,465,0,2,0.73
15,2.8,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.04,12.9356539,77.6208174,0.347,4.052,1.96,359.8,-0.007,1.96,True,moving,0.31,1.6,465,0,2,0.93
16,3.0,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.24,12.9356435,77.6208187,0.488,2.894,1.62,0.8,0.023,1.62,True,moving,1.31,5.41,466,0,2,0.05
17,3.2,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.44,12.9356466,77.6208187,0.488,3.239,1.62,0.8,0.023,1.62,True,moving,1.31,5.41,466,0,2,0.25
18,3.4,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.64,12.9356497,77.6208188,0.499,3.584,1.62,0.8,0.023,1.62,True,moving,1.31,5.41,466,0,2,0.45
19,3.6,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.84,12.9356528,77.6208188,0.499,3.93,1.62,0.8,0.023,1.62,True,moving,1.31,5.41,466,0,2,0.65
20,3.8,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.06,12.93564,77.6208199,0.618,2.505,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,0.02
21,4.0,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.24,12.93564,77.6208199,0.618,2.505,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,0.2
22,4.2,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.44,12.9356417,77.62082,0.629,2.694,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,0.4
23,4.4,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.64,12.9356433,77.6208202,0.651,2.872,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,0.6
24,4.6,12.9356093,77.6208218,0.825,-0.913,0.0,,1.39,6,0.84,12.935645,77.6208203,0.662,3.061,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,0.8
25,4.8,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.04,12.9356467,77.6208204,0.673,3.251,0.88,4.4,0.068,0.877,True,moving,1.21,5.2,467,0,2,1.0
26,5.0,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.24,12.9356358,77.620824,1.063,2.037,0.33,,0.0,0.0,True,stationary,0.62,3.01,468,0,2,0.13
27,5.2,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.44,12.9356362,77.6208245,1.117,2.082,0.32,,0.0,0.0,True,stationary,0.62,3.01,468,0,2,0.33
28,5.4,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.64,12.9356366,77.6208249,1.161,2.126,0.3,,0.0,0.0,True,stationary,0.62,3.01,468,0,2,0.53
29,5.6,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.84,12.935637,77.6208253,1.204,2.171,0.29,,0.0,0.0,True,stationary,0.62,3.01,468,0,2,0.73
30,5.8,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.04,12.9356373,77.6208257,1.248,2.204,0.28,,0.0,0.0,True,stationary,0.62,3.01,468,0,2,0.93
31,6.0,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.24,12.9356292,77.620827,1.389,1.302,0.3,,0.0,0.0,True,stationary,0.33,1.73,469,0,2,0.07
32,6.2,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.44,12.9356288,77.6208275,1.443,1.258,0.28,,0.0,0.0,True,stationary,0.33,1.73,469,0,2,0.27
33,6.4,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.64,12.9356285,77.6208279,1.486,1.225,0.27,,0.0,0.0,True,stationary,0.33,1.73,469,0,2,0.47
34,6.6,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.84,12.9356282,77.6208283,1.53,1.191,0.26,,0.0,0.0,True,stationary,0.33,1.73,469,0,2,0.67
35,6.8,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.04,12.935625,77.6208282,1.519,0.835,0.31,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,0.02
36,7.0,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.24,12.9356246,77.6208286,1.562,0.79,0.3,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,0.23
37,7.2,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.44,12.9356246,77.6208286,1.562,0.79,0.3,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,0.42
38,7.4,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.64,12.9356241,77.6208289,1.595,0.735,0.29,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,0.62
39,7.6,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.84,12.9356237,77.6208292,1.627,0.69,0.28,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,0.82
40,7.8,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.04,12.9356232,77.6208295,1.66,0.635,0.26,,0.0,0.0,True,stationary,0.13,0.64,470,0,2,1.02
41,8.0,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.24,12.9356225,77.6208288,1.584,0.557,0.24,,0.0,0.0,True,stationary,0.05,0.23,471,0,2,0.14
42,8.2,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.44,12.9356221,77.6208291,1.617,0.512,0.23,,0.0,0.0,True,stationary,0.05,0.23,471,0,2,0.34
43,8.4,12.9356222,77.6208278,1.476,0.523,0.0,,1.39,6,0.64,12.9356218,77.6208293,1.638,0.479,0.22,,0.0,0.0,True,stationary,0.05,0.23,471,0,2,0.54
